pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,dificultad,explicacion
¿Cuál de los siguientes es un ser vivo?,Una roca,Un árbol,Un coche,Un río,b,baja, "Un árbol cumple con las características de los seres vivos: nace, crece, se reproduce y muere. Las rocas, coches y ríos no realizan funciones vitales."
¿Cuál es la unidad básica de los seres vivos?,El tejido,El órgano,La célula,El organismo,c,baja, "Todos los seres vivos están formados por células, que son la unidad estructural y funcional de la vida."
¿Cuál de estos organismos es un vertebrado?,Una medusa,Un caracol,Un león,Un pulpo,c,baja, "El león tiene columna vertebral, al igual que todos los vertebrados. Medusas, caracoles y pulpos son invertebrados."
¿Cuál es el proceso por el que las plantas producen su propio alimento?,Respiración celular,Digestión,Fotosíntesis,Fermentación,c,baja, "La fotosíntesis es el proceso mediante el cual las plantas convierten la luz solar, el dióxido de carbono y el agua en glucosa (su alimento) y oxígeno."
¿Qué gas toman las plantas del aire para hacer la fotosíntesis?,Nitrógeno,Oxígeno,Dióxido de carbono,Helio,c,baja,"Las plantas captan CO₂ del aire para transformarlo en glucosa durante la fotosíntesis."
¿Dónde ocurre la fotosíntesis en las plantas?,En la raíz,En la flor,En la hoja,En el tallo,c,baja, "Las hojas contienen cloroplastos con clorofila, donde ocurre la fotosíntesis."
¿Cómo se llaman los animales que solo comen plantas?,Carnívoros,Herbívoros,Omnívoros,Insectívoros,b,baja, "Los herbívoros son animales que se alimentan exclusivamente de materia vegetal."
¿Qué grupo de organismos puede fabricar su propio alimento?,Animales,Plantas,Hongos,Bacterias,b,baja, "Las plantas son autótrofas: producen su propio alimento mediante la fotosíntesis. Animales, hongos y muchas bacterias son heterótrofos."
¿Qué función tiene el esqueleto en los vertebrados?,Transportar oxígeno,Proteger órganos internos,Filtrar la sangre,Producir alimento,b,baja, "Además de dar forma y soporte, el esqueleto protege órganos vitales como el cerebro, el corazón y los pulmones."
¿Cómo se reproducen los mamíferos?,Poniendo huevos,Por esporas,Por reproducción asexual,Por reproducción vivípara,d,baja,"Los mamíferos se reproducen mediante reproducción vivípara: las crías se desarrollan dentro del cuerpo de la madre."
¿Qué tipo de ser vivo es un hongo?,Autótrofo,Animal,Heterótrofo,Vegetal,c,baja, "Los hongos no producen su propio alimento; obtienen nutrientes al descomponer materia orgánica."
¿Cuál es el hábitat de los peces?,Tierra,Aire,Agua,Árboles,c,baja, "Los peces viven en ambientes acuáticos, tanto en agua dulce como salada."
¿Cuál de estos es un animal invertebrado?,Perro,Elefante,Mariposa,Tiburón,c,baja, "Las mariposas no tienen columna vertebral, por lo tanto, son invertebradas."
¿Qué tipo de reproducción tienen las bacterias?,Sexual,Asexual,Vivípara,Por esporas,b,baja, "Las bacterias suelen reproducirse por fisión binaria, un tipo de reproducción asexual en la que se dividen en dos células hijas idénticas."
¿Cómo se llama la ciencia que estudia los seres vivos?,Química,Biología,Física,Matemáticas,b,baja, "La biología es la ciencia que estudia la vida y los organismos vivos, incluyendo su estructura, función, crecimiento y evolución."
¿Cómo respiran los peces?,Por la piel,Por branquias,Por pulmones,No necesitan respirar,b,baja, "Las branquias permiten a los peces tomar oxígeno disuelto en el agua y eliminar dióxido de carbono."
¿Cuál de estos es un órgano?,Hueso,Corazón,Sangre,Célula,b,baja, "El corazón es un órgano vital del sistema circulatorio que bombea sangre por todo el cuerpo. Hueso es tejido duro, sangre es un fluido corporal y célula es la unidad básica de vida."
¿Qué ser vivo es un productor?,Un hongo,Un león,Un árbol,Un conejo,c,baja, "Los productores fabrican su propio alimento. Los árboles, al hacer fotosíntesis, son productores. Animales y hongos no lo son."
¿Cómo se llama el proceso por el que los seres vivos obtienen energía de los alimentos?,Fotosíntesis,Respiración celular,Fermentación,Evaporación,b,baja, "La respiración celular es el proceso mediante el cual las células transforman nutrientes en energía útil (ATP)."
¿Cuál es la función principal del sistema digestivo?,Transportar la sangre,Controlar los movimientos,Obtener nutrientes,Proteger el cuerpo,c,baja, "El sistema digestivo descompone los alimentos en nutrientes que el cuerpo puede absorber y utilizar."
¿Cuál es la parte de la célula donde se encuentra el ADN?,Membrana celular,Núcleo,Citoplasma,Mitocondria,b,media,"El ADN (ácido desoxirribonucleico) está contenido principalmente en el núcleo de las células eucariotas. Allí se encuentra organizado en cromosomas y contiene la información genética necesaria para el funcionamiento celular."
¿Cómo se llama el pigmento que da color verde a las plantas?,Hemoglobina,Clorofila,Caroteno,Melanina,b,media,"La clorofila es el pigmento verde que permite a las plantas absorber la luz solar para realizar la fotosíntesis."
¿Qué organismo descompone la materia orgánica?,Un águila,Una vaca,Un hongo,Un árbol,c,media,"Los hongos son descomponedores: transforman la materia orgánica muerta en nutrientes que regresan al suelo, cerrando el ciclo de la materia."
¿Cómo se transporta el oxígeno en la sangre?,A través de los glóbulos blancos,Disuelto en el plasma,Mediante la hemoglobina,A través de los anticuerpos,c,media,"La hemoglobina es una proteína presente en los glóbulos rojos que se une al oxígeno en los pulmones y lo transporta a los tejidos."
¿Qué parte de la planta transporta agua y sales minerales?,Xilema,Floema,Cloroplasto,Estomas,a,media,"El xilema es el tejido vascular que transporta agua y minerales desde las raíces hasta el resto de la planta."
¿Cuál es la función del sistema nervioso?,Transportar oxígeno,Controlar y coordinar las funciones del cuerpo,Producir hormonas,Regular la digestión,b,media,"El sistema nervioso transmite señales eléctricas entre el cerebro, la médula espinal y el resto del cuerpo, coordinando funciones como el movimiento, los sentidos y los reflejos."
¿Qué función tienen los ribosomas en la célula?,Producir proteínas,Almacenar energía,Transportar sustancias,Controlar la célula,a,media,"Los ribosomas son orgánulos celulares encargados de la síntesis de proteínas a partir del ARN mensajero."
¿Cuál es la diferencia entre un ser vivo autótrofo y uno heterótrofo?,Los autótrofos fabrican su alimento,Los autótrofos comen carne,Los heterótrofos hacen fotosíntesis,Los heterótrofos no tienen células,a,media,"Los autótrofos, como las plantas, producen su propio alimento mediante procesos como la fotosíntesis. Los heterótrofos necesitan consumir otros seres vivos para obtener energía."
¿Cuál es la función principal de la mitocondria?,Almacenar agua,Producir energía,Transportar nutrientes,Controlar la célula,b,media,"Las mitocondrias son las 'centrales energéticas' de la célula: realizan la respiración celular para generar ATP, la molécula que almacena energía."
¿Qué tipo de reproducción tienen las plantas con flores?,Asexual,Sexual,Por esporas,Por división celular,b,media,"Las plantas con flores se reproducen sexualmente mediante la unión de gametos (óvulos y polen), lo que da lugar a semillas."
¿Qué estructura de la célula se encarga de controlar el paso de sustancias?,Mitocondria,Núcleo,Membrana plasmática,Ribosomas,c,media,"La membrana plasmática regula lo que entra y sale de la célula, manteniendo el equilibrio interno."
¿Cuál es la función principal del aparato de Golgi en la célula?,Sintetizar proteínas,Almacenar y modificar sustancias,Generar energía,Transportar oxígeno,b,media,"El aparato de Golgi modifica, empaca y distribuye proteínas y lípidos dentro y fuera de la célula."
¿Qué tipo de esqueleto tienen los insectos?,Interno,Óseo,Exoesqueleto,Hidrostático,c,media, "Los insectos, como todos los artrópodos, tienen un esqueleto externo que protege su cuerpo y permite el movimiento."
¿Cuál de los siguientes animales es un mamífero marino?,Tiburón,Delfín,Medusa,Pingüino,b,media, "El delfín es un mamífero porque respira por pulmones, es de sangre caliente y amamanta a sus crías, aunque viva en el agua."
¿Cómo se llaman las plantas que no producen flores?,Gimnospermas,Angiospermas,Autótrofas,Herbáceas,a,media, "Las gimnospermas son plantas con semillas que no están encerradas en frutos y no producen flores, como los pinos."
¿Qué función cumplen los glóbulos rojos en la sangre?,Defender el organismo,Transportar oxígeno,Coagular la sangre,Regular la temperatura,b,media, "Los glóbulos rojos contienen hemoglobina, que se une al oxígeno y lo lleva desde los pulmones a todo el cuerpo."
¿Qué tipo de invertebrados tienen un cuerpo blando y en algunos casos concha?,Anélidos,Moluscos,Equinodermos,Artrópodos,b,media, "Los moluscos, como los caracoles y mejillones, tienen un cuerpo blando y muchos de ellos poseen una concha que los protege."
¿Cómo se llaman las células vegetales encargadas de realizar la fotosíntesis?,Mitocondrias,Cloroplastos,Vacuolas,Lisosomas,b,media, "Los cloroplastos contienen clorofila y son los orgánulos celulares responsables de la fotosíntesis."
¿Cuál de las siguientes opciones NO es una función del sistema óseo?,Proteger órganos,Producir células sanguíneas,Controlar los movimientos musculares,Dar soporte al cuerpo,c,media, "El sistema óseo proporciona soporte, protege órganos y produce células sanguíneas, pero el control del movimiento lo realiza el sistema nervioso; los músculos ejecutan el movimiento."
¿Cómo se llama el proceso por el cual las células obtienen energía a partir de la glucosa en ausencia de oxígeno?,Fotosíntesis,Fermentación,Respiración aeróbica,Osmosis,b,media, "La fermentación es un proceso anaeróbico (sin oxígeno) por el cual algunas células obtienen energía a partir de la glucosa."
¿Cuál es el orgánulo celular encargado de la digestión de sustancias en la célula?,Mitocondria,Lisosoma,Ribosoma,Aparato de Golgi,b,alta, "Los lisosomas son orgánulos celulares que contienen enzimas digestivas. Su función principal es descomponer y digerir sustancias que entran a la célula, así como organelos dañados o envejecidos."
¿Cómo se llaman las células especializadas en la transmisión del impulso nervioso?,Neuronas,Glóbulos rojos,Osteocitos,Linfocitos,a,alta, "Las neuronas son células especializadas del sistema nervioso encargadas de transmitir impulsos eléctricos y señales químicas por todo el cuerpo."
¿Qué estructura permite el intercambio de gases en las hojas de las plantas?,Estomas,Xilema,Floema,Cloroplastos,a,alta,"Los estomas son pequeños poros en las hojas de las plantas que permiten el intercambio de gases (entrada de CO₂ y salida de O₂), esencial para la fotosíntesis."
¿Cómo se llama la parte del cerebro encargada del equilibrio y la coordinación?,Hipotálamo,Cerebelo,Bulbo raquídeo,Tálamo,b,alta, "El cerebelo es una parte del encéfalo que coordina el movimiento, el equilibrio y la postura. Trabaja junto con otras regiones del cerebro para regular la motricidad."
¿Qué proceso permite la entrada de agua en una célula a través de la membrana?,Osmosis,Difusión simple,Transporte activo,Exocitosis,a,alta, "La ósmosis es el proceso mediante el cual el agua pasa a través de una membrana semipermeable desde una zona de menor concentración de solutos a una de mayor concentración, equilibrando así los fluidos celulares."
¿Qué característica es propia de los artrópodos?,Tienen un esqueleto óseo,Poseen patas articuladas,Son todos acuáticos,Carecen de sistema nervioso,b,alta, "Los artrópodos (como insectos, arañas y crustáceos) se caracterizan por tener patas articuladas, un exoesqueleto y un cuerpo segmentado."
¿Cómo se llama el proceso de división celular en organismos eucariotas?,Meiosis,Mitosis,Endocitosis,Difusión,b,alta,"La mitosis es el proceso por el cual una célula eucariota se divide para formar dos células hijas idénticas, conservando el mismo número de cromosomas."
¿Qué tipo de sangre puede recibir cualquier grupo sanguíneo?,Tipo O negativo,Tipo AB positivo,Tipo A negativo,Tipo B positivo,b,alta, "El grupo sanguíneo AB+ es considerado receptor universal, ya que puede recibir sangre de cualquier grupo sin que su sistema inmunológico lo rechace."
¿Cuál es el producto principal de la fotosíntesis?,Nitrógeno,Glucosa,Agua,Proteínas,b,alta, "Durante la fotosíntesis, las plantas convierten dióxido de carbono y agua en glucosa, usando la energía del sol. Esta glucosa es su fuente de energía."
¿Qué órgano del cuerpo humano filtra la sangre y elimina desechos a través de la orina?,Corazón,Hígado,Riñón,Intestino delgado,c,alta,"Los riñones filtran la sangre, eliminan desechos y exceso de agua, formando orina para ser excretada por el cuerpo."
¿Cómo se llama la fase del ciclo celular donde el ADN se replica?,Mitosis,Meiosis,Interfase,Citocinesis,c,alta,"La interfase es la fase del ciclo celular donde la célula crece y duplica su ADN antes de entrar en mitosis."
¿Qué tipo de articulación permite el movimiento en todas direcciones como el hombro?,Bisagra,Esférica,Deslizante,Fija,b,alta,"Las articulaciones esféricas, como la del hombro o la cadera, permiten el movimiento en todas direcciones gracias a la forma redondeada de sus superficies."
¿Cómo se llaman las estructuras encargadas de la contracción muscular?,Neuronas,Sarcómeros,Osteocitos,Células epiteliales,b,alta,"Los sarcómeros son las unidades contráctiles del músculo; están formados por filamentos de actina y miosina que se deslizan unos sobre otros para generar contracción."
¿Cuál es la función principal de los glóbulos blancos?,Transportar oxígeno,Defender el organismo de infecciones,Coagular la sangre,Regular la temperatura,b,alta,"Los glóbulos blancos, o leucocitos, son responsables de proteger el cuerpo contra patógenos como bacterias y virus, participando en la respuesta inmune."
¿Cuál de los siguientes órganos no pertenece al sistema digestivo?,Estómago,Páncreas,Riñón,Hígado,c,alta,"El riñón pertenece al sistema excretor, no al digestivo. Su función es eliminar los desechos y el exceso de agua, formando la orina."
¿Qué tipo de organismos pueden realizar la quimiosíntesis?,Plantas,Hongos,Bacterias,Animales,c,alta,"Algunas bacterias realizan quimiosíntesis, un proceso en el que obtienen energía a partir de reacciones químicas inorgánicas, sin necesidad de luz solar."
¿Cuál es el hueso más largo del cuerpo humano?,Fémur,Húmero,Radio,Tibia,a,alta,"El fémur es el hueso más largo y fuerte del cuerpo humano. Se encuentra en el muslo y conecta la cadera con la rodilla."
¿Qué gas es expulsado principalmente en la respiración celular?,Oxígeno,Dióxido de carbono,Nitrógeno,Helio,b,alta,"Durante la respiración celular, las células utilizan oxígeno y glucosa para producir energía y liberan dióxido de carbono como desecho."
¿Cómo se llama la glándula que regula el metabolismo mediante la producción de hormonas?,Hipófisis,Tiroides,Suprarrenales,Páncreas,b,alta,"La glándula tiroides regula el metabolismo mediante la secreción de hormonas como la tiroxina, que controlan la velocidad de las funciones celulares."
¿Cómo se llama el proceso por el cual las células especializadas cumplen funciones específicas en el organismo?,Diferenciación celular,Mitosis,Homeostasis,Fotosíntesis,a,alta,"La diferenciación celular es el proceso por el cual las células madre se especializan para cumplir funciones específicas (como ser una neurona, una célula muscular, etc.)."
